Date,Stock,Return,Price Before,Price After
2007-12-06,JKIN.NS,4.194616977225673,19.32,100.36
2005-08-31,OSGL.NS,4.187441860465117,21.5,111.53
2009-04-01,WSTC.NS,4.175652173913043,5.75,29.76
2005-10-06,MDRD.BO,4.170603674540683,11.43,59.1
2022-11-28,OSGL.NS,4.163796133567662,28.45,146.91
2016-07-11,BOB.NS,4.15014400485069,131.94,679.51
2014-03-06,HEGL.NS,4.149136577708005,6.37,32.8
2006-08-10,CEMI.NS,4.143296432964329,32.52,167.26
2023-04-13,HEGL.NS,4.13686819143993,193.69,994.96
2021-11-02,THOM.NS,4.131788356833729,71.63,367.59
2006-01-30,KAMT.NS,4.121733901825736,182.94,936.97
2020-06-17,TAJG.NS,4.118913547532295,30.19,154.54
2025-05-12,ASHT.NS,4.111064834096903,72.03,368.15
2020-04-16,CHPC.NS,4.107435011816033,55.01,280.96
2025-01-29,THOM.NS,4.106975184439973,29.82,152.29
2021-03-31,XPRO.NS,4.092508143322475,46.05,234.51
2007-06-15,AEGS.NS,4.075757575757575,5.94,30.15
2009-08-21,VENK.NS,4.073729863692689,16.14,81.89
2009-09-15,BOB.NS,4.069106283714827,68.59,347.69
2005-09-23,CHPC.NS,4.067268491555037,137.36,696.04
2006-08-29,TANE.BO,4.063600269683122,133.49,675.94
2012-12-03,THOM.NS,4.054411764705883,20.4,103.11
2012-01-16,JAAO.NS,4.052616769836804,35.54,179.57
2014-07-21,AEGS.NS,4.041015625,5.12,25.81
2023-12-13,TANE.BO,4.039732508092341,281.13,1416.82
2014-09-26,IMCL.NS,4.037735849056604,7.42,37.38
2007-09-10,CHPC.NS,4.034262584801322,175.41,883.06
2022-11-23,TAJG.NS,4.034212996766454,191.74,965.26
2008-10-16,OSGL.NS,4.033250207813799,12.03,60.55
2024-08-23,VSTI.NS,4.028941104977972,394.94,1986.13
2014-06-12,BRIT.NS,4.0277436008781455,414.51,2084.05
2006-04-28,CHPC.NS,4.024762982878166,141.34,710.2
2009-11-11,TAJG.NS,4.020263497064299,139.66,701.13
2013-02-20,CHPC.NS,4.016633064516129,19.84,99.53
2006-09-04,WSTC.NS,4.010261194029851,10.72,53.71
2014-11-12,GICH.NS,4.010097610232244,29.71,148.85
2016-06-14,VSTI.NS,4.009977324263039,22.05,110.47
2005-09-08,WRRN.BO,4.0097481722177095,12.31,61.67
2006-02-20,TAJG.NS,4.001769813616503,180.81,904.37
2006-03-06,BOB.NS,3.997284453496266,29.46,147.22
2025-12-31,JAAO.NS,3.9937620674290804,201.99,1008.69
2008-12-31,GICH.NS,3.9931756141947226,21.98,109.75
2018-07-06,ARTI.NS,3.9909977183157013,241.05,1203.08
2008-02-25,BRIT.NS,3.9900534168355133,108.58,541.82
2023-02-24,GENS.NS,3.989392577372543,389.35,1942.62
2022-09-14,TAJG.NS,3.989133387666395,36.81,183.65
2009-01-02,HEGL.NS,3.9890322580645163,15.5,77.33
2017-01-10,WHEL.NS,3.9835334539539824,547.17,2726.84
2012-06-19,NALU.NS,3.9817115251897865,28.98,144.37
2015-08-26,GICH.NS,3.981005979599016,28.43,141.61
2011-12-01,BOB.NS,3.980185064024676,106.99,532.83
2024-04-18,KAMT.NS,3.9772880215343207,59.44,295.85
2009-05-29,ASHT.NS,3.976540681437349,53.71,267.29
2005-09-16,JKIN.NS,3.9739432541980317,17.27,85.9
2017-10-05,TVEL.NS,3.973807924781733,59.56,296.24
2010-01-07,CEMI.NS,3.9733196511031306,19.49,96.93
2023-11-02,XPRO.NS,3.97150088028169,999.68,4969.91
2024-08-30,CEMI.NS,3.9711936407227117,548.49,2726.65
2018-03-20,SEAM.NS,3.96967556111081,184.01,914.47
2016-03-21,CEMI.NS,3.9691876750700272,21.42,106.44
2023-12-07,GENS.NS,3.9685571903179877,84.28,418.75
2020-07-08,SEAM.NS,3.9683998694658973,367.72,1826.98
2007-02-23,VSTI.NS,3.964817320703654,14.78,73.38
2018-06-18,BOB.NS,3.961453256535224,22.57,111.98
2005-07-07,BRIT.NS,3.96029243119266,69.76,346.03
2006-06-23,KAMT.NS,3.96007393715342,135.25,670.85
2014-11-25,NALU.NS,3.95771144278607,32.16,159.44
2007-05-17,VSTI.NS,3.9563862928348907,16.05,79.55
2026-05-11,WSTC.NS,3.9559289669658195,523.7,2595.42
2007-07-09,BOB.NS,3.9498793889037787,37.31,184.68
2013-03-12,ARTI.NS,3.949404761904762,3.36,16.63
2024-07-16,IMCL.NS,3.9472505091649692,49.1,242.91
2007-11-20,MDRD.BO,3.946864310148232,87.7,433.84
2015-10-21,WSTC.NS,3.9433863358378476,57.23,282.91
2013-11-06,XPRO.NS,3.9431818181818175,3.52,17.4
2012-04-05,ASHT.NS,3.94203332335628,100.23,495.34
2009-12-24,SEAM.NS,3.9418155480444224,41.42,204.69
2017-01-05,IMCL.NS,3.938492964139809,44.06,217.59
2025-04-29,CHPC.NS,3.9371308358281407,123.59,610.18
2025-06-17,SEAM.NS,3.93679052674561,857.15,4231.57
2006-06-22,ARTI.NS,3.9341563786008225,4.86,23.98
2020-12-11,TANE.BO,3.9328880407124682,31.44,155.09
2021-01-04,JKIN.NS,3.931451612903225,14.88,73.38
2012-05-21,NALU.NS,3.9284239504473506,29.06,143.22
2006-11-03,SEAM.NS,3.9278110639288,171.91,847.14
2005-05-11,WRRN.BO,3.9277486910994766,9.55,47.06
2016-12-30,AEGS.NS,3.9276788770968842,116.84,575.75
2009-08-04,WSTC.NS,3.9237983587338805,8.53,42.0
2022-02-15,GENS.NS,3.9229313142239057,73.96,364.1
2026-05-25,BRIT.NS,3.922607771565864,1082.15,5327.0
2008-07-02,GICH.NS,3.921996879875195,6.41,31.55
2005-11-28,KAMT.NS,3.9209310142004874,119.01,585.64
2015-12-31,ARTI.NS,3.919153398798742,104.89,515.97
2012-11-27,NALU.NS,3.9185667752443,21.49,105.7
2010-01-19,TAJG.NS,3.91675749318801,146.8,721.78
2016-01-05,IMCL.NS,3.9159891598915992,11.07,54.42
2014-06-26,ARTI.NS,3.915510718789407,7.93,38.98
2005-07-18,MDRD.BO,3.914529914529915,7.02,34.5
2022-07-05,OSGL.NS,3.9142857142857146,22.4,110.08
2017-02-10,GENS.NS,3.9138250820373806,140.18,688.82
2012-12-12,OSGL.NS,3.912624699002408,29.07,142.81
2015-12-10,WRRN.BO,3.912099276111685,29.01,142.5
2023-09-18,WIPR.NS,3.9109947643979055,206.28,1013.04
2019-01-14,IMCL.NS,3.9105440269209204,35.66,175.11
2005-05-13,HEGL.NS,3.909356725146199,3.42,16.79
2021-10-12,TANE.BO,3.9089800893945554,73.83,362.43
2024-04-05,GICH.NS,3.9080887756601825,204.11,1001.79
2007-05-11,GICH.NS,3.9041614123581336,23.79,116.67
2025-11-11,KAMT.NS,3.9036858271171564,227.9,1117.55
2009-06-10,BOB.NS,3.900390625,61.44,301.08
2020-07-17,NALU.NS,3.900198807157058,25.15,123.24
2007-06-13,SEAM.NS,3.8967213114754093,36.6,179.22
2013-06-04,NALU.NS,3.894387447193723,16.57,81.1
2015-06-11,GENS.NS,3.8930623973727423,48.72,238.39
2018-01-01,AEGS.NS,3.8929345140815634,263.11,1287.38
2024-05-17,OSGL.NS,3.8923547400611618,32.7,159.98
2019-04-12,GENS.NS,3.8915741959751733,106.34,520.17
2024-05-13,TVEL.NS,3.88974144045393,310.18,1516.7
2009-10-22,WRRN.BO,3.885907436297451,96.15,469.78
2020-04-08,OSGL.NS,3.8845208845208843,8.14,39.76
2022-06-29,TAJG.NS,3.88336306868867,134.52,656.91
2024-04-22,BRIT.NS,3.882518340364631,4548.71,22209.16
2012-06-06,HLVL.NS,3.8811410459587963,6.31,30.8
2018-08-21,BRIT.NS,3.877250803858521,622.0,3033.65
2019-02-27,NALU.NS,3.873393316195372,31.12,151.66
2018-09-21,THOM.NS,3.871623951269969,87.01,423.88
2006-10-11,WRRN.BO,3.8711263090403927,46.79,227.92
2007-01-25,WHEL.NS,3.8706911335962957,58.31,284.01
2008-05-20,VENK.NS,3.8688012946480175,86.51,421.2
2021-12-06,THOM.NS,3.8685669041963573,12.63,61.49
2010-06-15,JAAO.NS,3.865384615384616,31.72,154.33
2016-12-06,THOM.NS,3.8651335311572703,67.4,327.91
2019-08-14,IMCL.NS,3.864941621962764,31.69,154.17
2017-10-10,CEMI.NS,3.8634762184380502,34.06,165.65
2023-04-24,IMCL.NS,3.862187769164513,81.27,395.15
2023-01-11,WRRN.BO,3.8617478510028658,69.8,339.35
2016-06-09,BRIT.NS,3.8593617279456387,247.23,1201.38
2014-10-30,JKIN.NS,3.8585893854748603,85.92,417.45
2020-04-30,WRRN.BO,3.858409090909091,44.0,213.77
2022-07-26,WIPR.NS,3.858161525344908,193.53,940.2
2007-10-23,WHEL.NS,3.8580310880829014,9.65,46.88
2008-09-08,BRIT.NS,3.855678446182898,111.21,540.0
2015-07-09,BOB.NS,3.8548026805658973,26.86,130.4
2022-04-05,AEGS.NS,3.853088561241207,207.54,1007.21
2007-02-13,NALU.NS,3.8519885198851993,24.39,118.34
2017-01-13,NALU.NS,3.851720047449585,8.43,40.9
2014-04-02,JKIN.NS,3.8506008444300095,30.79,149.35
2020-09-11,ASHT.NS,3.84943231441048,57.25,277.63
2007-05-22,VENK.NS,3.8488120950323967,13.89,67.35
2016-05-24,CEMI.NS,3.8483333333333336,24.0,116.36
2009-01-14,BRIT.NS,3.8468894804298532,101.43,491.62
2014-12-22,GICH.NS,3.844627401308845,142.11,688.47
2010-02-08,WIPR.NS,3.8425925925925926,51.84,251.04
2017-02-07,KAMT.NS,3.8422907488986784,34.05,164.88
2024-10-17,VENK.NS,3.8401660639865955,1886.02,9128.65
2022-03-09,KAMT.NS,3.839929328621908,56.6,273.94
2012-12-18,OSGL.NS,3.836612789880534,28.46,137.65
2011-07-14,SEAM.NS,3.8351036924633286,19.77,95.59
2013-12-13,TANE.BO,3.8326384752829066,16.79,81.14
2008-08-27,XPRO.NS,3.8322147651006713,2.98,14.4
2024-02-14,ASHT.NS,3.8321584424303454,29.79,143.95
2013-03-07,XPRO.NS,3.830171217029153,21.61,104.38
2009-05-08,TAJG.NS,3.8289353958143764,10.99,53.07
2019-08-20,IMCL.NS,3.828101188661993,32.81,158.41
2012-04-04,THOM.NS,3.8280542986425337,4.42,21.34
2013-09-06,BOB.NS,3.827637078927957,81.34,392.68
2015-05-07,WIPR.NS,3.8272009029345373,88.6,427.69
2020-03-13,WHEL.NS,3.8269658665909203,422.46,2039.2
2018-07-27,BOB.NS,3.8266521301576653,119.24,575.53
2017-03-30,BOB.NS,3.8263926446727963,147.92,713.92
2024-03-05,WRRN.BO,3.8259541984732826,45.85,221.27
2020-03-02,WRRN.BO,3.8251732101616636,43.3,208.93
2006-11-20,MDRD.BO,3.8245614035087723,1.71,8.25
2012-12-28,VENK.NS,3.8233884326648573,283.73,1368.54
2023-10-25,ARTI.NS,3.8216198842939786,93.34,450.05
2011-02-17,ASHT.NS,3.821481325174087,47.39,228.49
2016-09-22,BOB.NS,3.8210105623751067,140.12,675.52
2021-08-26,JAAO.NS,3.8206736353077817,43.05,207.53
2020-04-15,VSTI.NS,3.8192073911986384,205.65,991.07
2018-07-13,ARTI.NS,3.818059815950921,52.16,251.31
2014-07-01,XPRO.NS,3.8178153970173323,24.81,119.53
2008-10-15,VENK.NS,3.8172502134927404,11.71,56.41
2007-12-11,MDRD.BO,3.817169373549884,86.2,415.24
2014-01-21,SEAM.NS,3.8170295257977926,67.06,323.03
2011-09-14,KAMT.NS,3.815593929879644,95.55,460.13
2015-07-28,HLVL.NS,3.814354066985646,20.9,100.62
2006-05-09,GENS.NS,3.8133514986376023,7.34,35.33
2020-08-28,KAMT.NS,3.813105413105413,35.1,168.94
2010-09-21,MDRD.BO,3.812945838837516,37.85,182.17
2018-12-13,XPRO.NS,3.812823576264436,25.11,120.85
2016-12-15,ARTI.NS,3.8121554481725983,146.93,707.05
2014-03-22,WRRN.BO,3.8116693679092384,185.1,890.64
2009-04-08,WIPR.NS,3.8115671641791042,21.44,103.16
2015-02-25,OSGL.NS,3.811375993308239,23.91,115.04
2018-04-02,OSGL.NS,3.8108660130718954,24.48,117.77
2016-03-02,VENK.NS,3.810042371203422,252.53,1214.68
2023-04-18,HEGL.NS,3.808962503810588,196.82,946.5
2023-05-03,CEMI.NS,3.8066568771414593,122.58,589.2
2016-09-29,ASHT.NS,3.806503251625813,99.95,480.41
2019-05-22,GENS.NS,3.8062360801781727,17.96,86.32
2008-02-06,ASHT.NS,3.803650963945512,615.18,2955.11
2011-03-17,OSGL.NS,3.803492737065448,61.27,294.31
2009-02-25,TANE.BO,3.8024404416037187,17.21,82.65
2022-11-04,IMCL.NS,3.802248486595561,69.38,333.18
2007-08-01,IMCL.NS,3.8014142604596355,16.97,81.48
2010-09-09,WRRN.BO,3.799106169609767,91.74,440.27
2012-08-21,BOB.NS,3.7987481945113144,20.77,99.67
2015-02-04,HLVL.NS,3.798260869565217,23.0,110.36
2019-05-02,GENS.NS,3.7961316140506893,89.96,431.46
2012-06-27,TAJG.NS,3.7951202630212846,57.79,277.11
2024-06-05,VENK.NS,3.7940278988666076,367.04,1759.6
2024-06-05,KAMT.NS,3.787732848705134,220.1,1053.78
2018-06-11,THOM.NS,3.785788705980412,95.98,459.34
2009-03-25,HEGL.NS,3.7856071964017994,13.34,63.84
2009-04-17,CEMI.NS,3.784688995215311,2.09,10.0
2006-09-29,VENK.NS,3.7816370106761568,70.25,335.91
2012-10-05,SEAM.NS,3.7809675704412555,18.81,89.93
2024-01-04,BOB.NS,3.7799602736702713,45.31,216.58
2015-08-20,WRRN.BO,3.778450184501845,135.5,647.48
2020-11-12,ARTI.NS,3.7767847971237805,97.35,465.02
2005-03-23,ASHT.NS,3.776462743790632,59.99,286.54
2024-03-07,XPRO.NS,3.775097917955061,242.55,1158.2
2022-09-23,KAMT.NS,3.7717001055966204,94.7,451.88
2022-10-28,JAAO.NS,3.770644576753818,38.63,184.29
2013-01-31,JKIN.NS,3.769351464435146,19.12,91.19
2009-06-10,CHPC.NS,3.7678037562284405,130.45,621.96
2014-09-04,HEGL.NS,3.7676500508647006,49.15,234.33
2017-12-05,WHEL.NS,3.7668743812241567,171.71,818.52
2025-12-22,THOM.NS,3.765719868797544,143.29,682.88
2021-08-30,WIPR.NS,3.7653336060823017,293.31,1397.72
2018-05-30,ASHT.NS,3.763896848137536,261.75,1246.95
2021-12-15,HEGL.NS,3.7635766223493263,328.69,1565.74
2019-04-04,SEAM.NS,3.762717745853287,432.27,2058.78
2007-03-16,JKIN.NS,3.7621495327102803,21.4,101.91
2006-02-14,MDRD.BO,3.760714285714286,2.8,13.33
2009-07-09,AEGS.NS,3.760330578512397,1.21,5.76
2013-10-29,NALU.NS,3.758897818599311,17.42,82.9
2021-02-11,OSGL.NS,3.7580138277812694,15.91,75.7
2007-07-05,BRIT.NS,3.757257615525332,125.73,598.13
2015-07-27,CEMI.NS,3.7560329195145767,71.69,340.96
2012-07-11,XPRO.NS,3.75516693163752,6.29,29.91
2016-09-26,HEGL.NS,3.7539351108255703,31.13,147.99
2008-05-07,MDRD.BO,3.752976791120081,49.55,235.51
2015-03-04,HLVL.NS,3.7505422993492408,23.05,109.5
2022-02-22,VSTI.NS,3.749850004285592,233.34,1108.33
2007-01-31,KAMT.NS,3.7496832479479973,181.53,862.21
2017-03-17,JKIN.NS,3.7491545998439264,115.33,547.72
2023-09-21,MDRD.BO,3.7440758293838865,4.22,20.02
2016-04-11,NALU.NS,3.7411656723267557,21.79,103.31
2023-06-23,IMCL.NS,3.7393248379163877,89.46,423.98
2010-05-10,ARTI.NS,3.738562091503268,1.53,7.25
2021-02-10,HEGL.NS,3.738267746365488,211.17,1000.58
2005-11-21,KAMT.NS,3.7372142580395193,103.24,489.07
2008-02-14,AEGS.NS,3.735042735042735,2.34,11.08
2007-02-01,NALU.NS,3.7336261980830674,25.04,118.53
2019-04-26,HLVL.NS,3.7333333333333334,2.25,10.65
2018-11-01,CEMI.NS,3.7308662741799825,23.78,112.5
2013-07-29,WIPR.NS,3.7305773342836783,14.03,66.37
2009-12-15,XPRO.NS,3.7299824663939223,17.11,80.93
2024-12-19,ASHT.NS,3.729662943560344,202.34,957.0
2022-06-17,HLVL.NS,3.7292134831460677,8.9,42.09
2016-09-12,NALU.NS,3.728550829127613,27.74,131.17
2016-01-11,JAAO.NS,3.7279635258358663,59.22,279.99
2022-11-18,GICH.NS,3.7277094402794964,137.39,649.54
2017-09-04,CEMI.NS,3.7266931767973235,158.43,748.85
2005-05-27,NALU.NS,3.720234222511386,15.37,72.55
2021-05-31,VENK.NS,3.7200449873418817,2302.87,10869.65
2022-02-22,NALU.NS,3.718934911242603,20.28,95.7
2017-09-06,AEGS.NS,3.718594748048261,169.08,797.82
2018-06-22,WIPR.NS,3.718581081081081,88.8,419.01
2007-02-12,TAJG.NS,3.7185541889069382,172.36,813.29
2022-02-28,TVEL.NS,3.718255728011826,202.95,957.57
2021-01-13,AEGS.NS,3.717617968267051,242.65,1144.73
2016-02-02,CEMI.NS,3.7149321266968327,97.24,458.48
2016-07-19,XPRO.NS,3.7146111291897164,30.73,144.88
2005-08-17,CEMI.NS,3.7144329896907218,29.1,137.19
2021-12-28,ASHT.NS,3.7139167862266858,69.7,328.56
2020-11-25,THOM.NS,3.713049925852694,40.46,190.69
2018-04-11,TAJG.NS,3.713008227018004,167.74,790.56
2017-10-06,JKIN.NS,3.7092711283350717,134.18,631.89
2020-04-23,AEGS.NS,3.7080753438049925,153.43,722.36
2018-11-30,WRRN.BO,3.7068776628119293,82.15,386.67
2016-01-15,XPRO.NS,3.706430026185627,34.37,161.76
2016-05-18,NALU.NS,3.706429780033841,23.64,111.26
2015-07-21,WSTC.NS,3.70583038869258,11.32,53.27
2005-09-02,BRIT.NS,3.7050320017656144,90.62,426.37
2005-08-23,GENS.NS,3.702265372168285,9.27,43.59
2019-03-25,TAJG.NS,3.70143853146236,226.62,1065.44
2026-06-16,TVEL.NS,3.700928855772175,97.97,460.55
2016-08-19,HLVL.NS,3.7005747126436788,17.4,81.79
2005-10-07,ASHT.NS,3.696990677777503,404.41,1899.51
2019-08-08,WRRN.BO,3.6968876860622464,36.95,173.55
2016-08-22,XPRO.NS,3.696612665684831,6.79,31.89
2020-04-30,IMCL.NS,3.6958400864397616,37.02,173.84
2019-10-04,JKIN.NS,3.6952380952380963,65.1,305.66
2025-09-11,IMCL.NS,3.695177324825476,499.93,2347.26
2019-12-19,HEGL.NS,3.695015239406155,203.42,955.06
2017-08-10,TAJG.NS,3.693914081145584,33.52,157.34
2017-12-04,WSTC.NS,3.69271906584241,203.82,956.47
2017-11-02,OSGL.NS,3.6907378335949765,6.37,29.88
2010-04-28,SEAM.NS,3.6901319594132795,190.21,892.11
2013-07-29,VENK.NS,3.689544688026981,59.3,278.09
2006-12-15,VSTI.NS,3.6894586894586903,3.51,16.46
2024-11-26,JAAO.NS,3.6883860908662385,275.79,1293.01
2006-03-09,VSTI.NS,3.687817258883249,19.7,92.35
2025-08-08,ASHT.NS,3.6811709683007106,288.65,1351.22
2023-02-08,OSGL.NS,3.680656934306569,5.48,25.65
2005-01-11,GENS.NS,3.6800433839479387,9.22,43.15
2014-05-07,WSTC.NS,3.6800422386483627,9.47,44.32
2017-12-21,ASHT.NS,3.6793462109955417,168.25,787.3
2017-01-05,KAMT.NS,3.678595317725752,29.9,139.89
2016-12-06,TVEL.NS,3.678313888726037,170.57,797.98
2007-05-15,WSTC.NS,3.677597787435796,50.62,236.78
2009-12-15,TANE.BO,3.677069199457259,7.37,34.47
2011-01-24,VSTI.NS,3.676032110091743,34.88,163.1
2008-03-12,BOB.NS,3.675550405561993,8.63,40.35
2020-02-14,SEAM.NS,3.675084059562204,437.19,2043.9
2015-10-01,KAMT.NS,3.674545454545455,55.0,257.1
2007-09-06,ASHT.NS,3.6724565756823813,145.08,677.88
2009-02-03,TANE.BO,3.6723756906077343,18.1,84.57
2024-07-24,VENK.NS,3.671004582996349,408.03,1905.91
2011-08-12,XPRO.NS,3.6704888352444174,33.14,154.78
2017-07-06,XPRO.NS,3.6698240866035183,7.39,34.51
2011-07-13,THOM.NS,3.669549104385422,16.19,75.6
2009-09-25,JAAO.NS,3.667484232655922,28.54,133.21
2007-08-08,XPRO.NS,3.6659154929577458,17.75,82.82
2025-03-27,VENK.NS,3.665836547703754,1602.18,7475.51
2011-09-08,OSGL.NS,3.6651263093037585,64.92,302.86
2022-02-03,CHPC.NS,3.664780763790665,21.21,98.94
2019-11-27,WIPR.NS,3.663457129756992,109.05,508.55
2026-04-06,TVEL.NS,3.6634477146344775,368.65,1719.18
2019-11-25,JKIN.NS,3.6630503144654085,63.6,296.57
2019-01-25,BRIT.NS,3.663005632090619,2846.19,13271.8
2009-09-22,JAAO.NS,3.6621621621621623,5.92,27.6
2009-11-16,VSTI.NS,3.661818181818182,5.5,25.64
2014-11-03,WSTC.NS,3.6610911987256074,50.22,234.08
2024-05-29,JKIN.NS,3.660754855258336,409.35,1907.88
2025-06-17,XPRO.NS,3.6592818945760115,261.8,1219.8
2008-02-22,OSGL.NS,3.657289573565528,44.79,208.6
2011-06-13,SEAM.NS,3.656782402415355,92.74,431.87
2017-01-04,THOM.NS,3.6554878048780486,65.6,305.4
2012-07-18,VSTI.NS,3.655430711610487,96.12,447.48
2010-05-05,AEGS.NS,3.6550976138828633,13.83,64.38
2024-02-22,WRRN.BO,3.655038759689922,10.32,48.04
2023-10-20,OSGL.NS,3.6513605442176873,5.88,27.35
2009-11-04,AEGS.NS,3.6506849315068495,1.46,6.79
2024-05-08,GENS.NS,3.650533147890589,539.25,2507.8
2019-09-13,WSTC.NS,3.649327316787833,239.34,1112.77
2011-09-06,HLVL.NS,3.648831168831169,38.5,178.98
2016-04-21,CHPC.NS,3.647972601064155,163.51,759.99
2007-11-13,THOM.NS,3.6474435196195003,16.82,78.17
2017-08-28,XPRO.NS,3.6463414634146343,30.34,140.97
2017-02-28,IMCL.NS,3.6460637605725434,46.11,214.23
2005-03-07,TAJG.NS,3.645753899480069,57.7,268.06
2011-12-08,OSGL.NS,3.644628099173554,56.87,264.14
2016-09-23,SEAM.NS,3.64436248682824,18.98,88.15
2012-03-06,HLVL.NS,3.6442953020134228,7.45,34.6
2018-12-20,OSGL.NS,3.6439699942296606,17.33,80.48
2009-07-28,SEAM.NS,3.6434639627295144,36.49,169.44
2012-05-21,WRRN.BO,3.643058874646969,46.03,213.72
2008-01-07,NALU.NS,3.64188137644821,57.83,268.44
2022-09-05,CEMI.NS,3.6416803953871497,24.28,112.7
2005-02-17,TAJG.NS,3.6413994169096204,61.74,286.56
2025-10-07,IMCL.NS,3.6398452206651326,478.1,2218.31
2009-09-25,BRIT.NS,3.6392542974739737,123.91,574.85
2013-09-13,ASHT.NS,3.638544419597479,98.38,456.34
2006-06-13,GICH.NS,3.6384309266628767,17.59,81.59
2022-07-19,WRRN.BO,3.637234770704997,14.61,67.75
2014-07-15,JAAO.NS,3.636311349693252,52.16,241.83
2010-12-20,VSTI.NS,3.6360874848116644,32.92,152.62
2013-08-12,AEGS.NS,3.63594470046083,2.17,10.06
2016-02-04,OSGL.NS,3.6358208955223876,6.7,31.06
2024-06-20,ASHT.NS,3.6319519780140306,138.27,640.46
2021-03-31,OSGL.NS,3.631147540983606,3.66,16.95
2009-01-02,THOM.NS,3.6296851574212896,13.34,61.76
2011-11-03,HLVL.NS,3.628125,38.4,177.72
2008-02-15,HEGL.NS,3.6271585557299844,38.22,176.85
2006-08-24,XPRO.NS,3.6268656716417906,15.41,71.3
2008-03-14,TANE.BO,3.6261378413524055,123.04,569.2
2010-08-17,WRRN.BO,3.625922023182298,85.41,395.1
2021-06-10,ASHT.NS,3.625305688463583,94.05,435.01
2022-06-01,BOB.NS,3.6252758740852595,86.09,398.19
2020-07-01,BRIT.NS,3.6251341449876033,3242.76,14998.2
2020-01-28,XPRO.NS,3.6250803858520904,15.55,71.92
2016-11-18,GICH.NS,3.6245981830887484,214.65,992.67
2019-10-31,VSTI.NS,3.624390070164192,280.77,1298.39
2020-12-30,AEGS.NS,3.6224217944310757,232.72,1075.73
2012-03-01,WRRN.BO,3.6221959858323496,203.28,939.6
2016-07-07,NALU.NS,3.621852152721365,24.62,113.79
2022-02-04,HEGL.NS,3.6217433258282403,62.18,287.38
2012-01-27,ASHT.NS,3.6186998683107863,167.06,771.6
